tss_name	tss_strand	tss_position	prom_expression	active	left	right	operon	strand
TSS_11125_storz_regulondb	+	2945404	53.2138716336146	active	2945409	2945705	metZWV	+
TSS_16748_storz	+	4275469	0.748652831960616	inactive	4275492	4275956	soxR	+
TSS_16918_storz	-	4339955	0.65377566165461	inactive	4338743	4339651	melR	-
TSS_9847_regulondb	+	2619175	0.801252004727281	inactive	2619219	2620894	purMN	+
TSS_14431_storz	+	3718711	0.703256233940278	inactive	3719177	3720072	insK	+
TSS_16153_regulondb	+	4141881	0.767953478878242	inactive	4142018	4145159	pflDC	+
TSS_5962_regulondb	-	1533893	0.826306658955509	inactive	1532989	1533882	yddE	-
TSS_7355_storz	+	1921078	6.93456508385506	active	1921090	1921338	ryeA	+
TSS_8548_wanner	-	2247989	0.579240912423597	inactive	2246759	2247640	yeiE	-
TSS_10033_storz	-	2661727	0.554865117181649	inactive	2660605	2661345	trmJ	-
TSS_6300_storz	-	1644332	0.852887165561465	inactive	1643143	1643896	relBE-hokD	-
TSS_11137_storz	-	2947507	0.688022381355781	inactive	2945779	2947032	amiC	-
TSS_8279_storz	-	2168385	0.635909700600939	inactive	2167717	2168163	gatR_1	-
TSS_9293_wanner	-	2458846	0.627802415808101	inactive	2455037	2458491	fadIJ	-
TSS_10400_storz	-	2749107	0.613902404221389	inactive	2748137	2748730	grpE	-
TSS_3950_regulondb	-	1016082	0.675062455202925	inactive	1015175	1015693	fabA	-
TSS_4278_storz	-	1108481	0.613902404221389	inactive	1107007	1108164	opgC	-
TSS_11574_storz_wanner_regulondb	-	3067893	1.07375373378592	inactive	3066969	3067829	mscS	-
TSS_12383_storz	-	3265534	0.800812657441537	inactive	3256307	3265087	tdcABCDEFG	-
TSS_7643_regulondb	-	1990064	0.583092189290018	inactive	1988978	1989643	yecA	-
TSS_9461_storz	+	2510716	0.731557555239763	inactive	2511064	2512266	nupC	+
TSS_14479_regulondb	+	3729092	0.588340772059744	inactive	3729154	3734180	xylFGHR	+
TSS_8273_storz	-	2166725	0.744162131982776	inactive	2165626	2166330	yegRZ	-
TSS_249_storz	-	57311	0.596298923770982	inactive	50380	57109	lptD-surA-pdxA-rsmA-apaGH	-
TSS_6912_storz	+	1803160	1.13152288678224	inactive	1803189	1803296	yniD	+
TSS_16594_storz	+	4233442	0.635909700600939	inactive	4233929	4237753	yjbEFGH	+
TSS_1842_regulondb	+	462976	0.569887811462288	inactive	463161	463532	ybaV	+
TSS_2720_regulondb	+	703051	3.40557296148132	active	703167	705113	nagE	+
TSS_15465_storz	+	3978576	0.652415172885602	inactive	3978910	3980295	yifK	+
TSS_4900_storz_regulondb	+	1262806	0.561137299194082	inactive	1262937	1266150	hemA-prfA-prmC	+
TSS_16800_regulondb	-	4295245	0.537658221975177	inactive	4294459	4295148	yjcO	-
TSS_2341_regulondb	+	606954	0.777456252386691	inactive	607059	607211	hokE	+
TSS_2341_regulondb	+	606954	0.777456252386691	inactive	607288	608400	insL-2	+
TSS_2716_regulondb	-	702854	1.67964066667221	active	698797	702834	nagBAC-umpH	-
TSS_3605_storz	+	938543	0.817302019161753	inactive	938651	939943	serS	+
TSS_4907_regulondb	+	1266122	0.644162436743271	inactive	1266147	1268242	ychQA-kdsA	+
TSS_16574_regulondb	-	4231304	0.67552283408413	inactive	4229907	4231256	lysC	-
TSS_17640_storz	-	4504925	0.852008079471241	inactive	4504649	4504879	yjhD	-
TSS_2745_storz	-	709377	0.536704931985175	inactive	707557	709339	chiP-ybfN	-
TSS_16463_storz	-	4197946	0.641911690522635	inactive	4194926	4197484	nudC-hemE-nfi	-
TSS_10539_regulondb	-	2780844	0.652415172885602	inactive	2776168	2780748	ypjA	-
TSS_13154_wanner	-	3431654	0.666315184472315	inactive	3430458	3431582	smf	-
TSS_14083_storz	+	3635545	0.66525276244034	inactive	3635665	3637164	pitA	+
TSS_7215_wanner	-	1889318	1.7853731737469	active	1887975	1889291	tsaB-yeaY	-
TSS_14751_wanner	+	3806532	2.35041727496668	active	3806563	3808327	waaA-coaD	+
TSS_10639_storz	-	2814775	0.711295233411055	inactive	2812905	2814461	gshA	-
TSS_17481_storz	-	4471001	0.60232231041703	inactive	4469009	4470556	pyrLBI	-
TSS_17279_regulondb	-	4416585	0.659432797132299	inactive	4415721	4416476	ulaR	-
TSS_13017_regulondb	+	3401302	0.631199702306308	inactive	3401506	3402480	yhdH	+
TSS_4753_storz_regulondb	+	1225387	1.29432686340824	inactive	1225823	1226191	ycgJ	+
TSS_9929_regulondb	-	2640067	0.652415172885602	inactive	2638617	2639826	ispG-sroE	-
TSS_248_storz	+	57259	0.795753502051668	inactive	57364	58179	djlA	+
TSS_15083_regulondb	+	3894680	0.793436833453882	inactive	3894797	3895462	yieH	+
TSS_1861_storz	+	467628	0.920853606332083	inactive	468095	471641	mdlAB	+
TSS_1960_storz	+	490530	2.72979650597043	active	490636	491187	apt	+
TSS_11114_storz	-	2944085	0.999447480374475	inactive	2943058	2943864	tcdA	-
TSS_11484_regulondb	+	3041661	0.808266467318061	inactive	3041684	3043123	bglA	+
TSS_10763_storz	-	2859334	0.860661231499164	inactive	2858489	2859286	ygbI	-
TSS_14836_storz	-	3825337	0.641911690522635	inactive	3820129	3825314	rpoZ-spoT-trmH-recG	-
TSS_2017_regulondb	+	507398	0.737984349055348	inactive	507442	507783	ybaQ	+
TSS_15386_regulondb	+	3958670	0.920853606332083	inactive	3958700	3960721	rep	+
TSS_14899_storz	-	3840912	0.640536706000042	inactive	3839973	3840425	yicN	-
TSS_12599_storz	-	3316633	0.779114496857116	inactive	3307055	3316311	metY-rimP-nusA-infB-rbfA-truB-rpsO-pnp	-
TSS_14941_wanner	-	3854436	0.621835147394834	inactive	3853137	3854330	yidHGF	-
TSS_5436_regulondb	+	1389896	0.725454686270951	inactive	1390015	1390914	pgrR	+
TSS_15565_storz	+	4002674	0.613902404221389	inactive	4002885	4003754	pldA	+
TSS_2806_storz	-	728445	0.605344011184897	inactive	723630	728044	kdpFABC	-
TSS_2339_wanner	-	606630	0.690927941549816	inactive	605488	606606	ybdK	-
TSS_8227_storz	-	2151420	0.739288767883381	inactive	2149735	2151152	yegLK	-
TSS_10175_regulondb	-	2705218	1.78860327593195	active	2702357	2705146	lepAB	-
TSS_17900_wanner	-	4577383	1.70667852867896	active	4574935	4577360	mcrBC	-
TSS_4214_storz	-	1096442	0.570216653520291	inactive	1094767	1096052	ymdE-ycdU	-
TSS_1564_regulondb	+	395777	0.69494078025043	inactive	395863	398190	sbmA-yaiW	+
TSS_5155_wanner	-	1308915	1.18929203977856	inactive	1308593	1308889	yciI	-
TSS_4165_regulondb	+	1081377	0.635909700600939	inactive	1081466	1083870	efeOB	+
TSS_11464_storz	-	3038110	0.625943450652498	inactive	3031679	3037765	xerD-dsbC-recJ-prfB-lysS	-
TSS_16308_storz	-	4172501	0.659378718599384	inactive	4170080	4172070	murB-birA	-
TSS_4917_storz	-	1268466	0.660365409355434	inactive	1266147	1268242	ychQA-kdsA	-
TSS_5906_storz	-	1517354	0.784942381928669	inactive	1515906	1516870	mnaT-ydcZ	-
TSS_16025_storz	+	4110090	0.485910157741682	inactive	4110338	4110778	yiiR	+
TSS_5362_regulondb	-	1355834	0.576490000376153	inactive	1355447	1355692	ymjA	-
TSS_1576_storz	-	399027	0.714197050762745	inactive	398249	398557	yaiY	-
TSS_16035_wanner	+	4110952	0.844403542605163	inactive	4110990	4111744	yiiS-uspD	+
TSS_4001_storz	-	1026388	0.682542106980321	inactive	1025780	1026238	mgsA	-
TSS_13886_storz	-	3578040	0.69793992696085	inactive	3576973	3577668	yhhW	-
TSS_14591_storz	+	3765083	1.45529955414649	inactive	3765244	3765945	yibJ	+
TSS_8602_storz	+	2263983	0.592653980130788	inactive	2264267	2265733	yeiQ	+
TSS_800_storz	-	191794	0.613902404221389	inactive	189712	191708	tff-rpsB-tsf	-
TSS_11190_storz	-	2967245	0.674134732464399	inactive	2964210	2966999	rppH-ptsP	-
TSS_2206_storz	-	576510	0.673970311435397	inactive	574981	576048	nmpC	-
TSS_14779_regulondb	+	3811875	0.584910505742926	inactive	3811955	3813113	dut-slmA	+
TSS_8270_wanner	-	2166370	1.39565050186465	inactive	2165626	2166330	yegRZ	-
TSS_1189_storz	-	279153	0.63603012765633	inactive	276980	279099	insAB-2A-2B-2-afuBC	-
TSS_1886_storz	+	475840	0.61305539978339	inactive	475896	476249	ybaA	+
TSS_12482_regulondb	+	3294371	0.624906052411164	inactive	3294431	3295006	yraP	+
TSS_11418_storz	-	3029451	0.632026060063371	inactive	3026546	3028953	ygfTS	-
TSS_3695_storz_regulondb	-	954037	1.52501272366712	inactive	950495	953689	focA-pflB	-
TSS_2009_storz	+	506094	0.602117697681152	inactive	506428	506511	chiX	+
TSS_17118_storz	+	4380464	0.586102381047963	inactive	4380666	4381643	epmA	+
TSS_5822_storz	+	1496631	0.643312154837697	inactive	1496962	1497501	rimL	+
TSS_5822_storz	+	1496631	0.643312154837697	inactive	1496675	1496899	ydcH	+
TSS_14793_storz	+	3815527	0.717728831571117	inactive	3815783	3816607	dinD	+
TSS_4063_storz	+	1049040	1.07375373378592	inactive	1049056	1049753	insA-4AB-4B-4	+
TSS_3933_storz	-	1011260	0.622446043062707	inactive	1007067	1011094	rlmL-uup	-
