TF,TU,promoter,tss,site_left_pos,site_right_pos
AcrR,marRAB,marRp,1619093,1619048,1619058
AraC,araBAD,araBp,70075,70342,70359
AraC,araBAD,araBp,70075,70131,70148
AraC,araBAD,araBp,70075,70205,70222
AraC,araBAD,araBp,70075,70110,70127
AraC,araC,araCp,70223,70342,70359
AraC,araC,araCp,70223,70131,70148
AraC,araC,araCp,70223,70205,70222
AraC,araC,araCp,70223,70110,70127
AraC,xylAB,xylAp,3730807,3730824,3730841
AraC,araBAD,araBp,70075,70184,70201
AraC,araC,araCp,70223,70184,70201
AraC,xylAB,xylAp,3730807,3730847,3730864
CpxR,marRAB,marRp,1619093,1619057,1619072
Cra,marRAB,marRp,1619093,1619012,1619030
CRP,dgoRKADT,dgoRp,3875185,3875293,3875312
CRP,xylAB,xylAp,3730807,3730878,3730900
CRP,xylFGHR,xylFp,3731069,3730878,3730900
CRP,lacZYA,lacZp1,366343,366322,366344
CRP,lacZYA,lacZp1,366343,366394,366416
CRP,marRAB,marRp,1619093,1619030,1619052
CRP,araBAD,araBp,70075,70158,70180
CRP,araC,araCp,70223,70158,70180
CRP,ompR-envZ,ompRp1,3536707,3536749,3536771
CRP,rspA-rspB,NaN,NaN,1655221,1655243
DgoR,dgoRKADT,dgoRp,3875185,3875290,3875301
DgoR,dgoRKADT,dgoRp,3875185,3875268,3875280
DicA,dicC-ydfXW,dicCp,1647876,1647865,1647885
IlvY,ilvC,ilvCp,3957912,3957843,3957860
Zur,znuA,znuAp,1942661,1942613,1942636
Zur,znuCB,znuCp,1942634,1942613,1942636
Fis,xylFGHR,xylFp,3731069,3731081,3731100
Fis,xylFGHR,xylFp,3731069,3730985,3731004
Fis,marRAB,marRp,1619093,1619005,1619020
Fis,xylFGHR,xylFp,3731069,3730978,3730997
H-NS,lacZYA,lacZp1,366343,366313,366328
H-NS,lacZYA,lacZp1,366343,366367,366382
H-NS,lacZYA,lacZp1,366343,366341,366356
H-NS,lacZYA,lacZp1,366343,366390,366405
H-NS,lacZYA,lacZp1,366343,366331,366346
H-NS,lacZYA,lacZp1,366343,366403,366418
IHF,ompR-envZ,ompRp1,3536707,3536803,3536816
IHF,ompR-envZ,ompRp1,3536707,3536738,3536751
IHF,ompR-envZ,ompRp1,3536707,3536694,3536707
IlvY,ilvC,ilvCp,3957912,3957874,3957891
LacI,lacZYA,lacZp1,366343,366323,366344
LacI,lacZYA,lacZp1,366343,365922,365943
LacI,lacZYA,lacZp1,366343,366415,366436
LeuO,leuLABCD,leuLp,83735,NaN,NaN
LexA,ftsK,ftsKp1,933138,933128,933148
MarA,lacZYA,lacZp1,366343,366366,366381
MarA,marRAB,marRp,1619093,1619022,1619042
MarR,marRAB,marRp,1619093,1619098,1619120
MarR,marRAB,marRp,1619093,1619064,1619086
OxyR,znuA,znuAp,1942661,1942598,1942615
OxyR,znuCB,znuCp,1942634,1942598,1942615
RelB,relBE-hokD,relBp,1645903,1645897,1645909
RelB,relBE-hokD,relBp,1645903,1645885,1645897
RelBE,relBE-hokD,relBp,1645903,1645897,1645909
RelBE,relBE-hokD,relBp,1645903,1645885,1645897
RelBE,relBE-hokD,relBp,1645903,1645911,1645923
RelBE,relBE-hokD,relBp,1645903,1645871,1645882
Rob,marRAB,marRp,1619093,1619022,1619042
SoxS,marRAB,marRp,1619093,1619022,1619042
XylR,araC,araCp,70223,70195,70213
XylR,araC,araCp,70223,70216,70234
XylR,xylFGHR,xylFp,3731069,3731020,3731038
XylR,xylAB,xylAp,3730807,3730840,3730858
XylR,xylFGHR,xylFp,3731069,3730999,3731017
XylR,xylAB,xylAp,3730807,3730861,3730879
YdfH,rspA-rspB,NaN,NaN,1655194,1655207
